State,share
Telangana,8.46
Punjab,10.86
Arunachal Pradesh,11.36
Puducherry,11.48
Karnataka,12.12
Andhra Pradesh,12.22
 Manipur,12.24
Nagaland,13
Jharkhand,13.6
Tamil Nadu,13.8
Gujarat,13.86
Uttar Pradesh,13.88
Haryana,13.98
Odisha,14.34
Jammu and Kashmir,14.76
Goa,14.82
West Bengal,14.9
Kerala,15.1
Madhya Pradesh,15.22
Mizoram,15.4
Sikkim,16.22
Rajasthan,16.3
Tripura,16.3
Himachal Pradesh,16.52
Maharashtra,16.62
Meghalaya,17.12
Bihar,17.74
Uttarakhand,18.08
Chhattisgarh,18.32
Assam,20.44
Delhi,23.46
