State,Avg
Andhra Pradesh,4.616149332
Arunachal Pradesh,5.666194749
Assam,6.313177094
Bihar,4.671053656
Chhattisgarh,5.551990449
Goa,6.814412042
Gujarat,5.48751264
Haryana,4.245411757
Himachal Pradesh,5.811377733
Jharkhand,4.633900523
Karnataka,4.244243221
Kerala,5.420160562
Madhya Pradesh,4.527351594
Maharashtra,4.073782695
Manipur,4.856724439
Meghalaya,7.385565742
Mizoram,5.774135196
Nagaland,5.010327578
Odisha,5.123213547
Punjab,3.4492749
Rajasthan,5.807565314
Sikkim,6.202327871
Tamil Nadu,4.888310263
Telangana,3.784826713
Tripura,5.784139288
Uttar Pradesh,5.000721202
Uttarakhand,4.836908837
West Bengal,4.921453766
Jammu and Kashmir,6.068105274
Delhi,11.44010897
Puducherry,8.094041898
